label_oct,label_dec,sdi,count
012,10,0,192
012,10,1,192
012,10,2,192
012,10,3,192
013,11,2,192
013,11,3,192
014,12,1,192
015,13,1,192
017,15,1,192
020,16,1,192
155,109,0,195
155,109,1,195
155,109,2,195
156,110,0,192
156,110,1,195
156,110,2,195
156,110,3,195
157,111,0,195
157,111,1,195
157,111,2,195
157,111,3,195
160,112,0,194
160,112,1,195
160,112,2,195
160,112,3,195
161,113,0,195
161,113,1,195
161,113,2,195
161,113,3,195
247,167,1,192
256,174,0,192
256,174,1,192
256,174,2,192
256,174,3,192
257,175,2,192
257,175,3,192
260,176,1,192
262,178,0,192
262,178,1,192
262,178,2,192
262,178,3,192
263,179,0,192
263,179,1,192
263,179,2,192
263,179,3,192
264,180,0,192
264,180,1,192
264,180,2,192
264,180,3,192
265,181,0,192
265,181,1,192
266,182,0,192
266,182,1,192
266,182,2,192
266,182,3,192
267,183,0,192
267,183,1,192
267,183,2,192
267,183,3,192
270,184,0,192
270,184,1,192
270,184,2,192
271,185,0,192
271,185,1,192
271,185,2,192
271,185,3,192
272,186,0,192
272,186,1,192
272,186,2,192
272,186,3,192
273,187,0,192
273,187,1,192
273,187,2,192
274,188,0,192
274,188,1,192
274,188,2,192
274,188,3,192
275,189,0,192
275,189,1,192
275,189,2,192
275,189,3,192
276,190,0,192
276,190,1,192
276,190,2,192
276,190,3,192
277,191,0,192
277,191,1,192
310,200,0,192
310,200,1,192
310,200,2,192
310,200,3,192
311,201,2,192
311,201,3,192
312,202,1,192
320,208,0,192
320,208,1,192
320,208,2,192
320,208,3,192
321,209,1,192
321,209,2,192
321,209,3,192
324,212,0,192
324,212,1,192
324,212,2,192
324,212,3,192
325,213,1,192
325,213,2,192
325,213,3,192
326,214,1,192
327,215,1,192
330,216,0,192
330,216,1,192
330,216,2,192
330,216,3,192
331,217,0,192
331,217,1,192
332,218,0,192
332,218,1,192
332,218,2,192
332,218,3,192
333,219,0,192
333,219,1,192
334,220,0,192
334,220,1,192
334,220,2,192
334,220,3,192
335,221,0,192
341,225,0,192
342,226,0,192
342,226,1,192
342,226,2,192
342,226,3,192
343,227,1,192
343,227,2,192
343,227,3,192
344,228,0,192
345,229,0,195
345,229,2,195
346,230,0,192
346,230,1,192
346,230,2,192
346,230,3,192
347,231,1,192
347,231,2,192
347,231,3,192
350,232,0,195
350,232,1,195
350,232,2,195
350,232,3,192
351,233,0,195
351,233,2,195
352,234,0,195
352,234,1,195
352,234,2,195
352,234,3,195
353,235,0,195
353,235,1,195
353,235,2,195
353,235,3,195
354,236,0,195
354,236,1,195
354,236,2,195
354,236,3,195
355,237,0,192
355,237,1,195
355,237,2,195
355,237,3,195
357,239,0,195
357,239,1,195
357,239,2,195
